LCS ID,AKR1D1,TIPARP,CYP3A4,HSD17B10,HSD17B8,AKR1C4,PPARGC1A,CYP19A1,SPP1,HSD17B3,ADM,SGPL1,HSD17B6,CYP17A1,SCARB1,SRD5A1,HSD17B11,WNT4,ESR1,HSD17B4,HSD3B1,DHRS9,SHH,HSD3B2,PLEKHA1,SRD5A2
LCS_127A,8.401,7.06,8.539,7.877999999999999,6.0,9.186,7.603,3.404,7.065,4.465,5.013,3.603,11.255999999999998,4.285,8.163,6.575,9.008,3.233,3.931,10.511,3.173,3.972,3.448,3.265,7.675,4.353
LCS_136A,6.553999999999999,7.149,9.94,9.381,6.94,8.205,4.162,3.42,7.517,4.948,5.44,3.667,11.76,4.716,8.379,8.71,8.953,3.435,7.686,10.273,3.347,4.079,3.573,3.517,5.995,3.741
LCS_188A,7.037000000000001,6.981,9.756,8.456,5.561,9.902000000000001,5.699,3.1710000000000003,10.07,5.6160000000000005,7.247999999999999,3.762,9.343,4.081,8.415,4.723,8.651,3.661,5.292999999999999,9.988,3.372,4.56,3.674,4.449,7.63,4.888
LCS_185A,7.62,5.562,8.832,9.539,5.016,7.853,4.44,3.286,8.922,4.803,7.75,3.9739999999999998,8.961,3.464,8.135,5.745,9.559,3.967,5.297999999999999,10.337,3.514,4.005,3.5589999999999997,4.091,7.1739999999999995,4.019
LCS_154A,8.154,4.927,9.295,9.005,4.666,6.682,5.216,3.407,11.397,4.365,3.884,4.551,9.425,3.7239999999999998,6.195,5.035,9.847000000000001,3.832,5.8389999999999995,9.513,4.062,5.0569999999999995,3.662,5.1979999999999995,7.49,5.525
LCS_120A,5.096,5.653,8.162,9.059,6.108,11.439,3.775,3.142,11.008,7.46,6.202000000000001,3.812,8.039,3.737,8.546,6.725,8.94,3.2539999999999996,4.18,10.055,3.1510000000000002,4.2669999999999995,3.6239999999999997,3.323,8.388,4.26
LCS_286A,3.932,6.0120000000000005,11.498,9.644,7.726,11.863,6.115,3.529,7.2620000000000005,4.952,5.52,3.627,11.614,3.6839999999999997,8.29,7.922000000000001,10.495,3.719,5.388999999999999,11.199000000000002,3.602,4.425,3.622,3.603,6.978,4.854
LCS_086A,7.4479999999999995,6.7010000000000005,7.132000000000001,8.3,6.151,10.353,4.032,3.2430000000000003,10.987,4.791,3.843,3.786,9.033,3.4360000000000004,8.642000000000001,4.57,9.006,3.551,3.287,10.145,3.108,4.62,3.4619999999999997,3.1630000000000003,7.313,3.705
LCS_023A,7.675,6.067,10.798,8.238999999999999,7.303999999999999,9.322000000000001,6.82,3.435,6.2379999999999995,3.867,3.86,4.099,11.784,4.41,8.682,8.322000000000001,10.575999999999999,3.2680000000000002,4.534,11.14,3.069,4.073,3.3739999999999997,3.485,8.376,4.442
LCS_177A,4.842,6.938,6.939,7.983,5.601,8.222999999999999,8.177,3.51,8.727,3.63,4.87,3.971,10.841,3.763,8.07,6.096,8.888,3.411,3.688,10.495,3.217,4.252,3.185,3.8280000000000003,8.301,4.1080000000000005
